"Hide","Vendor","Application","Description","License Type","Unclass","Secret","CWAN","Unit Cost","Initial Maintenance Cost","Subtotal","Discount","Total Cost","Comments"
"","Jfrog","Artifactory Pro","Need to decide version?","Floating","0","0","0"," $2,950.00 ",""," $-   "," $-   "," $-   ",""
"","KDM Analytics","Risk Manager","","Floating","0","0","0"," $60,000.00 ",""," $-   "," $-   "," $-   ",""
"","","MagicDraw","","","","","","","","","","",""
"","Maplesoft","Maple","","Floating","0","0","0"," $4,946.69 ",""," $-   "," $-   "," $-   ",""
"","MapleSoft","MapleSim","","Floating","0","0","0"," $7,292.78 ",""," $-   "," $-   "," $-   ",""
"","Mathworks","Matlab","","Floating","0","0","0"," $8,600.00 ",""," $-   "," $-   "," $-   ",""
"","Mathworks","Simulink","","Floating","0","0","0"," $13,000.00 ",""," $-   "," $-   "," $-   ",""
"","","Mathcad","","","","","","","","","","",""
"","","MSC","","","","","","","","","","",""
"","No Magic","Cameo EA","Cameo Enterprise Architect","Floating","0","0","0"," $3,239.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Cameo System Modeler","","Floating","0","0","0"," $3,239.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Teamwork Server","","Floating","0","0","0"," $1,967.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","TWC","Teamwork Cloud","Floating","0","0","0"," $1,967.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Cameo Collaborator","","Floating","0","0","0"," $598.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","SimToolKit","Cameo Simulation Toolkit","Floating","0","0","0"," $639.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Cameo DataHub","","Floating","0","0","0"," $319.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Cameo InterOp","","Floating","0","0","0"," $400.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Project Merge","","Floating","0","0","0"," $319.00 ",""," $-   "," $-   "," $-   ",""
"","","NX TeamMate","","","","","","","","","","",""
"","","OpenBravo and Frepple Support","","","","","","","","","","",""
"","","OpenBravo","","","","","","","","","","",""
"","","Pentaho Maintenance ","","","","","","","","","","",""
"","Phoenix Integration","ModelCenter Integrate","","Floating","0","0","0"," $9,375.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","ModelCenter Explore","","Floating","0","0","0"," $9,375.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","Advanced Reliability Algorithm","","Floating","0","0","0"," $3,750.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","MBSE Pak - Cameo","","Floating","0","0","0"," $3,750.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","MBSE Pak - Rhapsody","","Floating","0","0","0"," $3,750.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","ModelCenter Cloud","","Floating","0","0","0"," $60,000.00 ",""," $-   "," $-   "," $-   ",""
"","PTC","Arbortext Editor","","Floating ","0","0","0"," $945.00 ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Advanced Assembly Extention","","Floating ","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo CABLING","","Floating ","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Engineer II with Advanced Assembly ","","Floating ","0","0","0"," $4,288.00 ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo HARNESS-MFG","","Floating ","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Illustration Standard","","Floating ","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo NC Sheetmetal Option","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo PIPING","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Schematic","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Simulation Advanced ENG","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Simulation Advanced UI","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Simulation Live","","Floating","0","0","0"," $4,050.00 ",""," $-   "," $-   "," $-   ",""
"","PTC","Interface for UG","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Manikin Analysis","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Object Ada","","","","","","","","","","",""
"","PTC","Vuforia & Thingworx with Session Plan","","","","","","","","","","",""
"","PTC","Windchill","","Floating","0","0","0"," $-   ",""," $-   "," $-   "," $-   ",""
"","","Raytheon SW","","","","","","","","","","",""
"","","SarahTech SolidEdge","","","","","","","","","","",""
"","SBE Vision","Core","","Floating","0","0","0"," $20,000.00 ",""," $-   "," $-   "," $-   ",""
"","SBE Vision","DNG Adapter","","Floating","0","0","0"," $40.00 ",""," $-   "," $-   "," $-   ",""
"","SBE Vision","Teamcenter Adapter","","Floating","0","0","0"," $40.00 ",""," $-   "," $-   "," $-   ",""
"","SBE Vision","Cameo Adapter","","Floating","0","0","0"," $40.00 ",""," $-   "," $-   "," $-   ",""
"","SBE Vision","Rhapsody Adapter","","Floating","0","0","0"," $40.00 ",""," $-   "," $-   "," $-   ",""
"","Siemens","TeamCenter","","Floating","0","0","0"," $40.00 ",""," $-   "," $-   "," $-   ",""
"","Siemens","Teammate","","","","","","","","","","",""
"","Sparx","EA","","","","","","","","","","",""
"","Sparx","Ultimate","","Floating","0","0","0"," $297.00 ",""," $-   "," $-   "," $-   ",""
"","Sparx","Corporate","","Floating","0","0","0"," $297.00 ",""," $-   "," $-   "," $-   ",""
"","Sparx","CloudServer","","Floating","0","0","0"," $7,999.00 ",""," $-   "," $-   "," $-   ",""
"","Sparx","Prolaborate","","Floating","0","0","0"," $120.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","ARM - Admin","","Floating","0","0","0"," $1,350.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","ARM - Enterprise","","Floating","0","0","0"," $900.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","Risk Express","","Floating","0","0","0"," $150.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","ARM MS Project Integration ","","Floating","0","0","0"," $6,000.00 ",""," $-   "," $-   "," $-   ",""
"","Sword","ARM DOORS Integration","","Floating","0","0","0"," $6,000.00 ",""," $-   "," $-   "," $-   ",""
"","","Team Center","","","","","","","","","","",""
"","Tom Sawyer","Tom Sawyer","","Floating","0","0","0"," $595.40 ",""," $-   "," $-   "," $-   ",""
"","Wolfram","Mathematica","","Floating","0","0","0"," $1,207.78 ",""," $-   "," $-   "," $-   ",""
"","Wolfram","System Modeler","","Floating","0","0","0"," $1,207.78 ",""," $-   "," $-   "," $-   ",""
"","","","","","","","","","","","Total"," $-   ",""
"","","","","","","","","","","","New Licenses Total Estimate"," $-   ",""
